06-06 23:54:26.256  1612 21259 V FA-SVC  :       previous_timestamp_millis: 1780775661587
06-06 23:54:26.256  1612 21259 V FA-SVC  :       param {
06-06 23:54:26.256  1612 21259 V FA-SVC  :         name: ga_event_origin(_o)
06-06 23:54:26.256  1612 21259 V FA-SVC  :         string_value: app
06-06 23:54:26.256  1612 21259 V FA-SVC  :       }
06-06 23:54:26.256  1612 21259 V FA-SVC  :       param {
06-06 23:54:26.256  1612 21259 V FA-SVC  :         name: _r
06-06 23:54:26.256  1612 21259 V FA-SVC  :         int_value: 1
06-06 23:54:26.256  1612 21259 V FA-SVC  :       }
06-06 23:54:26.256  1612 21259 V FA-SVC  :       param {
06-06 23:54:26.256  1612 21259 V FA-SVC  :         name: engagement_time_msec(_et)
06-06 23:54:26.256  1612 21259 V FA-SVC  :         int_value: 4090
06-06 23:54:26.256  1612 21259 V FA-SVC  :       }
06-06 23:54:26.256  1612 21259 V FA-SVC  :       param {
06-06 23:54:26.256  1612 21259 V FA-SVC  :         name: ga_previous_class(_pc)
06-06 23:54:26.256  1612 21259 V FA-SVC  :         string_value: MainActivity
06-06 23:54:26.256  1612 21259 V FA-SVC  :       }
06-06 23:54:26.256  1612 21259 V FA-SVC  :       param {
06-06 23:54:26.256  1612 21259 V FA-SVC  :         name: ga_previous_id(_pi)
06-06 23:54:26.256  1612 21259 V FA-SVC  :         int_value: 2288007157000225042
06-06 23:54:26.256  1612 21259 V FA-SVC  :       }
06-06 23:54:26.256  1612 21259 V FA-SVC  :       param {
06-06 23:54:26.256  1612 21259 V FA-SVC  :         name: ga_screen_class(_sc)
06-06 23:54:26.256  1612 21259 V FA-SVC  :         string_value: MainActivity
06-06 23:54:26.256  1612 21259 V FA-SVC  :       }
06-06 23:54:26.256  1612 21259 V FA-SVC  :       param {
06-06 23:54:26.256  1612 21259 V FA-SVC  :         name: ga_screen_id(_si)
06-06 23:54:26.256  1612 21259 V FA-SVC  :         int_value: 2288007157000225043
06-06 23:54:26.256  1612 21259 V FA-SVC  :       }
06-06 23:54:26.256  1612 21259 V FA-SVC  :       param {
06-06 23:54:26.256  1612 21259 V FA-SVC  :         name: ga_screen(_sn)
06-06 23:54:26.256  1612 21259 V FA-SVC  :         string_value: /splash?data=null
06-06 23:54:26.256  1612 21259 V FA-SVC  :       }
06-06 23:54:26.256  1612 21259 V FA-SVC  :       param {
06-06 23:54:26.256  1612 21259 V FA-SVC  :         name: _dbg
06-06 23:54:26.256  1612 21259 V FA-SVC  :         int_value: 1
06-06 23:54:26.256  1612 21259 V FA-SVC  :       }
06-06 23:54:26.256  1612 21259 V FA-SVC  :     }
06-06 23:54:26.256  1612 21259 V FA-SVC  :   }
06-06 23:54:26.256  1612 21259 V FA-SVC  : } // End-of-batch
06-06 23:54:26.257  1612 21259 V FA-SVC  : Uploading bundle with GmsCore network library. app: com.izzes.nearsdelivery
06-06 23:54:26.268  1612 21259 V FA-SVC  : Not stopping services. fetch, network, upload: false, true, false
06-06 23:54:26.444  1612 21390 V FA-SVC  : Gms url request successful. app: com.izzes.nearsdelivery, GOOGLE_ANALYTICS
06-06 23:54:26.448  1612 21259 V FA-SVC  : Network upload successful with code, uploadAttempted: 204, true
06-06 23:54:26.449  1612 21259 V FA-SVC  : Upload scheduled in approximately ms: 3599999
06-06 23:54:26.449  1612 21259 V FA-SVC  : Scheduling upload, millis: 3599999
06-06 23:54:26.452  1612 21259 V FA-SVC  : Successful upload. Got network response. code, size: 204, 0
06-06 23:54:26.550  1612 21259 V FA-SVC  : Nothing to upload or uploading impossible
06-06 23:54:26.551  1612 21259 V FA-SVC  : Unscheduling upload
06-06 23:54:26.552  1612 21259 V FA-SVC  : Stopping uploading service(s)
06-06 23:54:27.902 21308 21328 V FA      : Logging screen view with name, class: /sign-in, MainActivity
06-06 23:54:27.980 21308 21345 V FA      : Logging telemetry for logEvent from database
06-06 23:54:27.980  1612 21259 V FA-SVC  : Populate EES config from database on cache miss. appId: com.izzes.nearsdelivery
06-06 23:54:27.980 21308 21345 V FA      : Recording user engagement, ms: 2231
06-06 23:54:27.981  1612 21259 V FA-SVC  : Parsed config. version, gmp_app_id: 1780654523761815, 1:1033648887925:android:b7f5d4c6c9f68fa7cf003c
06-06 23:54:27.981  1612 21259 V FA-SVC  : EES not loaded for: com.izzes.nearsdelivery
06-06 23:54:27.982  1612 21259 V FA-SVC  : Logging event: origin=app,name=screen_view(_vs),params=Bundle[{ga_event_origin(_o)=app, engagement_time_msec(_et)=2231, ga_previous_class(_pc)=MainActivity, ga_previous_id(_pi)=2288007157000225043, ga_previous_screen(_pn)=/splash?data=null, ga_screen_class(_sc)=MainActivity, ga_screen_id(_si)=2288007157000225044, ga_screen(_sn)=/sign-in}]
06-06 23:54:27.987  1612 21259 V FA-SVC  : Upload scheduled in approximately ms: 500
06-06 23:54:27.987  1612 21259 V FA-SVC  : Scheduling upload, millis: 500
06-06 23:54:27.987  1612 21259 V FA-SVC  : Background event processing time, ms: 5
06-06 23:54:28.492  1612 21259 V FA-SVC  : Unscheduling upload
06-06 23:54:28.499  1612 21259 V FA-SVC  : Starting upload from DelayedRunnable
06-06 23:54:28.503  1612 21259 V FA-SVC  : Updated engagement user property. scope, value: lifetime, 11125
06-06 23:54:28.505  1612 21259 V FA-SVC  : Setting user property: non_personalized_ads(_npa), 0
06-06 23:54:28.508  1612 21259 V FA-SVC  : Saving bundle, size: 579
06-06 23:54:28.517  1612 21259 D FA-SVC  : Uploading events. Elapsed time since last upload attempt (ms): 513
06-06 23:54:28.520  1612 21259 V FA-SVC  : Uploading data. app, uncompressed size, data: com.izzes.nearsdelivery, 652, 
06-06 23:54:28.520  1612 21259 V FA-SVC  : batch {
06-06 23:54:28.520  1612 21259 V FA-SVC  :   bundle {
06-06 23:54:28.520  1612 21259 V FA-SVC  :     protocol_version: 1
06-06 23:54:28.520  1612 21259 V FA-SVC  :     platform: android
06-06 23:54:28.520  1612 21259 V FA-SVC  :     gmp_version: 169000
06-06 23:54:28.520  1612 21259 V FA-SVC  :     uploading_gmp_version: 262031
06-06 23:54:28.520  1612 21259 V FA-SVC  :     dynamite_version: 193
06-06 23:54:28.520  1612 21259 V FA-SVC  :     config_version: 1780654523761815
06-06 23:54:28.520  1612 21259 V FA-SVC  :     gmp_app_id: 1:1033648887925:android:b7f5d4c6c9f68fa7cf003c
06-06 23:54:28.520  1612 21259 V FA-SVC  :     app_id: com.izzes.nearsdelivery
06-06 23:54:28.520  1612 21259 V FA-SVC  :     app_version: 1.0.0
06-06 23:54:28.520  1612 21259 V FA-SVC  :     app_version_major: 1
06-06 23:54:28.520  1612 21259 V FA-SVC  :     firebase_instance_id: eVTuPcOmTEWagZhf5itYCe
